name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
new york,2014-04-01,14.8,3.9,8.2,14.8,0.7,6.4,-2.8,47.0,0.0,0,0.0,,,,35.3,18.1,355.1,1018.3,12.9,16.0,248.6,21.3,8,,2014-04-01T06:39:32,2014-04-01T19:20:50,0.02,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,KNYC,72503014732"
new york,2014-04-02,11.8,5.8,8.6,11.8,4.0,8.1,2.7,66.6,0.0,0,0.0,,,,,9.5,173.7,1018.7,41.6,15.7,115.2,9.9,5,,2014-04-02T06:37:53,2014-04-02T19:21:53,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
new york,2014-04-03,18.6,8.1,11.6,18.6,6.3,11.2,-1.4,44.8,0.3,100,4.17,rain,,,27.7,13.7,60.2,1018.3,27.9,15.7,256.9,22.2,9,,2014-04-03T06:36:16,2014-04-03T19:22:56,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,KLGA,KNYC,72503014732"
new york,2014-04-04,8.3,4.1,6.0,7.0,-0.3,3.2,2.3,77.0,3.828,100,41.67,rain,,,35.4,23.3,101.1,1015.6,100.0,11.4,94.6,8.0,3,,2014-04-04T06:34:38,2014-04-04T19:23:59,0.12,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72505394728,KLGA,KNYC,72503014732"
new york,2014-04-05,11.8,4.1,7.9,11.8,-0.8,6.2,-0.7,58.8,3.086,100,8.33,rain,,,57.9,32.7,306.4,1010.6,63.6,14.6,269.9,23.1,9,,2014-04-05T06:33:01,2014-04-05T19:25:02,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72505394728,KLGA,KNYC,72503014732"
new york,2014-04-06,15.6,2.3,7.5,15.6,-1.8,5.9,-6.5,38.7,0.0,0,0.0,,,,38.9,18.4,280.0,1021.1,3.3,16.0,297.9,25.6,9,,2014-04-06T06:31:24,2014-04-06T19:26:05,0.21,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,KNYC,72503014732"
new york,2014-04-07,10.8,6.3,8.0,10.8,3.1,6.4,0.6,61.9,13.38,100,25.0,rain,,,31.3,31.5,94.5,1018.6,54.6,11.1,78.1,6.7,2,,2014-04-07T06:29:48,2014-04-07T19:27:07,0.26,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"72505394728,KLGA,KNYC,72503014732"
new york,2014-04-08,17.9,6.7,12.2,17.9,4.2,11.8,5.5,68.6,9.201,100,33.33,rain,,,49.0,24.0,275.0,999.3,79.0,9.7,84.8,7.4,3,,2014-04-08T06:28:12,2014-04-08T19:28:10,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72505394728,KLGA,KNYC,72503014732"
new york,2014-04-09,14.7,7.0,10.8,14.7,4.9,10.0,-2.7,41.3,0.0,0,0.0,,,,57.2,48.2,313.5,1007.1,14.1,16.0,283.8,24.4,9,,2014-04-09T06:26:36,2014-04-09T19:29:13,0.35,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,KNYC,72503014732"
new york,2014-04-10,13.7,6.2,10.6,13.7,5.1,10.0,-6.1,30.9,0.0,0,0.0,,,,40.0,26.9,201.9,1019.7,4.8,16.0,300.2,26.0,9,,2014-04-10T06:25:01,2014-04-10T19:30:16,0.39,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,KNYC,72503014732"
