name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
new york,2014-07-01,31,22.3,26.5,33.7,22.3,27.6,19.4,65.4,0,0,0,,,,42.5,24.1,197.9,1012.1,32.9,16,323.3,27.8,10,,2014-07-01T05:28:38,2014-07-01T20:31:01,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
new york,2014-07-02,32,23,26.8,36,23,28,21,71.4,21.964,100,25,rain,,,52.6,33.5,185.2,1011.7,32.1,13.3,293.6,25.4,9,,2014-07-02T05:29:09,2014-07-02T20:30:52,0.11,"Rain, Partially cloudy",Clearing in the afternoon with late afternoon rain.,rain,"72505394728,KLGA,KNYC,72503014732"
new york,2014-07-03,29.6,20.9,25.2,33.5,20.9,26.4,21.7,82.1,37.945,100,20.83,rain,,,55.1,19.2,190.7,1013.6,49.6,10.5,245.5,21.2,8,,2014-07-03T05:29:41,2014-07-03T20:30:41,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,KLGA,KNYC,72503014732"
new york,2014-07-04,23.1,18.9,21.2,23.1,18.9,21.2,17.2,79,3.677,100,20.83,rain,,,48.2,18.7,349.6,1014.2,74.5,12.5,96.8,8.3,3,,2014-07-04T05:30:14,2014-07-04T20:30:28,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72505394728,KLGA,KNYC,72503014732"
new york,2014-07-05,27.1,18,22.4,26.6,18,22.3,9.4,44.6,0,0,0,,,,41.1,22.9,293.4,1018.9,9.2,16,360.9,31.1,10,,2014-07-05T05:30:49,2014-07-05T20:30:13,0.25,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,KNYC,72503014732"
new york,2014-07-06,29.2,19.6,24.9,28.4,19.6,24.6,11.6,44.2,0,0,0,,,,33.5,24.1,243.3,1016.6,12,16,337,29.1,10,,2014-07-06T05:31:25,2014-07-06T20:29:56,0.3,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,KNYC,72503014732"
new york,2014-07-07,32.3,22.3,27.2,32.6,22.3,27.5,16.8,54.1,0,0,0,,,,49,27.7,227.9,1010,35.2,15.4,326.4,28.3,10,,2014-07-07T05:32:02,2014-07-07T20:29:38,0.35,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
new york,2014-07-08,32.4,22,27.4,34,22,28.4,19.5,63.9,9.288,100,16.67,rain,,,50,25.9,211.2,1008,37.6,13.5,317.3,27.4,9,,2014-07-08T05:32:41,2014-07-08T20:29:17,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72505394728,KLGA,KNYC,72503014732"
new york,2014-07-09,30.2,22.3,25.6,30.5,22.3,25.9,18,64,1.685,100,4.17,rain,,,57.2,24.1,215.2,1010.9,35,15.8,270.6,23.3,9,,2014-07-09T05:33:20,2014-07-09T20:28:54,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,KLGA,KNYC,72503014732"
new york,2014-07-10,27.6,21.8,24.1,27.9,21.8,24.2,16.3,62.2,0,0,0,,,,29.5,12.6,46.2,1018,45.8,16,168.5,14.5,6,,2014-07-10T05:34:01,2014-07-10T20:28:29,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
