name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
new york,2014-06-01,24,13.2,18.7,24,13.2,18.7,4,40.8,0,0,0,,,,29.5,14.8,209.3,1026.3,18.4,16,365.5,31.4,10,,2014-06-01T05:27:08,2014-06-01T20:21:00,0.07,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,KNYC,72503014732"
new york,2014-06-02,26,15.9,21.6,26,15.9,21.6,8.3,43,0,0,0,,,,38.9,14.8,209.2,1021.2,4.2,16,361.6,31.2,10,,2014-06-02T05:26:44,2014-06-02T20:21:43,0.1,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,KNYC,72503014732"
new york,2014-06-03,29.8,20,23.8,30.2,20,23.8,15.3,60.8,2.688,100,8.33,rain,,,40.7,16.8,206.2,1013.1,22.2,13.9,340.3,29.4,10,,2014-06-03T05:26:20,2014-06-03T20:22:24,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,KLGA,KNYC,72503014732"
new york,2014-06-04,26.6,17.6,21.4,26.6,17.6,21.4,16,72.6,0,0,0,,,,25.9,16.6,63.5,1009,47,12.3,292.2,25.1,8,,2014-06-04T05:25:59,2014-06-04T20:23:05,0.19,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
new york,2014-06-05,23.8,16.8,19.8,23.8,16.8,19.8,14.3,73.2,21.051,100,45.83,rain,,,38.9,18.6,18.3,1005.5,82.7,11.1,215.3,18.6,9,,2014-06-05T05:25:40,2014-06-05T20:23:44,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72505394728,KLGA,KNYC,72503014732"
new york,2014-06-06,24.1,16,19.8,24.1,16,19.8,8.8,49.6,0,0,0,,,,35.3,15.5,314.3,1011.1,59.8,16,352,30.4,10,,2014-06-06T05:25:23,2014-06-06T20:24:22,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
new york,2014-06-07,27.1,16.5,22,26.7,16.5,22,10.6,49.5,0,0,0,,,,,16.6,325.2,1014.5,10.5,16,359.2,31,10,,2014-06-07T05:25:08,2014-06-07T20:24:58,0.33,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,KNYC,72503014732"
new york,2014-06-08,29.1,19.3,24,28,19.3,23.8,11.9,48.1,0,0,0,,,,37.1,22.3,188.4,1013.2,16.3,16,322.2,27.7,10,,2014-06-08T05:24:55,2014-06-08T20:25:33,0.38,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,KNYC,72503014732"
new york,2014-06-09,23,17,19,23,17,19,15.5,82.2,38.27,100,41.67,rain,,,,13.1,91.3,1013.8,93.7,7.6,160.2,13.8,4,,2014-06-09T05:24:44,2014-06-09T20:26:06,0.42,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72505394728,KLGA,KNYC,72503014732"
new york,2014-06-10,24.1,17.8,20.9,24.1,17.8,20.9,18,83.7,0,0,0,,,,,13.9,55.9,1014,86.6,9.6,214.3,18.5,6,,2014-06-10T05:24:35,2014-06-10T20:26:38,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
