name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
new york,2014-05-01,24.8,9.8,17.8,24.8,7.9,17.7,11.7,71.9,24.398,100,29.17,rain,,,29.5,18.4,192.5,1008.3,77.7,9.9,182.8,15.9,7,,2014-05-01T05:54:39,2014-05-01T19:52:14,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,KLGA,KNYC,72503014732"
new york,2014-05-02,20.4,13.1,16.8,20.4,13.1,16.8,4,45.3,0,0,0,,,,40.7,22.3,278.2,1007.8,71.4,16,295.2,25.4,9,,2014-05-02T05:53:24,2014-05-02T19:53:16,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
new york,2014-05-03,20.5,12.3,16,20.5,12.3,16,3.5,44.8,1.532,100,8.33,rain,,,38.9,15.3,223.3,1009.6,47,15.6,292.6,25.4,9,,2014-05-03T05:52:09,2014-05-03T19:54:18,0.09,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"72505394728,KLGA,KNYC,72503014732"
new york,2014-05-04,16.9,12.3,14.5,16.9,12.3,14.5,2.6,47.1,0.586,100,8.33,rain,,,54.4,35.3,271.7,1006.7,58,16,257.5,22.3,8,,2014-05-04T05:50:55,2014-05-04T19:55:20,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,KLGA,KNYC,72503014732"
new york,2014-05-05,20.3,10,14.8,20.3,8.4,14.7,-1.3,35.6,0,0,0,,,,50,29.5,311,1010.6,18.3,16,320.3,27.4,10,,2014-05-05T05:49:43,2014-05-05T19:56:21,0.17,Clear,Clear conditions throughout the day.,clear-day,"72505394728,KLGA,KNYC,72503014732"
new york,2014-05-06,20.3,11.2,15.5,20.3,11.2,15.5,-1.8,31.5,0,0,0,,,,44.3,22.3,335.7,1013.4,47.4,16,320,27.7,10,,2014-05-06T05:48:32,2014-05-06T19:57:22,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
new york,2014-05-07,20,10.3,14.9,20,10.3,14.9,-1.2,33.7,0,0,0,,,,33.5,18.1,346.5,1021.7,20.4,16,260,22.6,9,,2014-05-07T05:47:23,2014-05-07T19:58:24,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KLGA,KNYC,72503014732"
new york,2014-05-08,15,11.8,12.8,15,11.8,12.8,9.9,83.9,10.306,100,37.5,rain,,,33.5,12.5,80.9,1021.1,99.2,7.9,187.7,16.1,8,,2014-05-08T05:46:15,2014-05-08T19:59:24,0.31,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"72505394728,KLGA,KNYC,72503014732"
new york,2014-05-09,17.2,12.6,14.6,17.2,12.6,14.6,12.9,89.5,0.897,100,8.33,rain,,,,15.7,67.2,1020.1,100,5,267,23,8,,2014-05-09T05:45:08,2014-05-09T20:00:25,0.36,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"72505394728,KLGA,KNYC,72503014732"
new york,2014-05-10,27.7,13.6,19.2,28.2,13.6,19.3,15.2,78.9,11.777,100,16.67,rain,,,49.5,18.1,233,1012.4,75.6,8.8,222.7,19.2,8,,2014-05-10T05:44:03,2014-05-10T20:01:25,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,KLGA,KNYC,72503014732"
